Итоговое расписание занятий
--------------------------------------------------
Группа 4301 | Предмет Программирование | Время ПТ 5 пара | Аудитория Г-54-18 | Преподаватель Павлов_15
Группа 4335 | Предмет Защита_информации | Время ВТ 1 пара | Аудитория Г-44-07 | Преподаватель Макаров_56
Группа 4335 | Предмет Защита_информации | Время ПТ 2 пара | Аудитория Г-35-08 | Преподаватель Алексеев_11
Группа 4335 | Предмет Экономика | Время ВТ 6 пара | Аудитория БМ-55-07 | Преподаватель Степанов_72
Группа 4335 | Предмет Английский_язык | Время ПТ 5 пара | Аудитория Г-31-11 | Преподаватель Морозов_29
Группа 4336 | Предмет Программирование | Время ЧТ 1 пара | Аудитория БМ-22-30 | Преподаватель Павлов_15
Группа 4336 | Предмет Программирование | Время ПН 4 пара | Аудитория БМ-52-06 | Преподаватель Иванов_0
Группа 4336 | Предмет Высшая_математика | Время ПН 5 пара | Аудитория БМ-41-13 | Преподаватель Макаров_16
Группа 4336 | Предмет Высшая_математика | Время СР 3 пара | Аудитория Г-55-14 | Преподаватель Лебедев_46
Группа 4336 | Предмет Физика | Время СР 1 пара | Аудитория Г-14-16 | Преподаватель Захаров_77
Группа 4336 | Предмет ТАУ | Время ВТ 5 пара | Аудитория Г-45-08 | Преподаватель Попов_24
Группа 4336 | Предмет ТАУ | Время ПН 3 пара | Аудитория БМ-52-06 | Преподаватель Орлов_54
Группа 4336 | Предмет Защита_информации | Время ПТ 6 пара | Аудитория БМ-42-28 | Преподаватель Алексеев_11
Группа 4336 | Предмет Английский_язык | Время СР 2 пара | Аудитория БМ-25-22 | Преподаватель Попов_44
Группа 4336 | Предмет Английский_язык | Время СР 4 пара | Аудитория Г-41-11 | Преподаватель Орлов_74
Группа 4337 | Предмет Программирование | Время ПН 1 пара | Аудитория Г-52-02 | Преподаватель Иванов_60
Группа 4337 | Предмет Схемотехника | Время СР 2 пара | Аудитория БМ-35-15 | Преподаватель Орлов_34
Группа 4337 | Предмет Алгоритмы_и_структуры_данных | Время ПТ 1 пара | Аудитория Г-31-11 | Преподаватель Новиков_68
Группа 4337 | Предмет Защита_информации | Время ЧТ 2 пара | Аудитория БМ-52-06 | Преподаватель Алексеев_71
Группа 4337 | Предмет Защита_информации | Время ВТ 5 пара | Аудитория БМ-55-07 | Преподаватель Петров_41
Группа 4337 | Предмет Экономика | Время ПН 2 пара | Аудитория Г-35-08 | Преподаватель Смирнов_42
Группа 4337 | Предмет Философия | Время ВТ 3 пара | Аудитория Г-31-26 | Преподаватель Кузнецов_43
Группа 4337 | Предмет Философия | Время ВТ 4 пара | Аудитория БМ-44-09 | Преподаватель Зайцев_58
Группа 4338 | Предмет Физика | Время СР 4 пара | Аудитория БМ-34-12 | Преподаватель Козлов_47
Группа 4338 | Предмет Базы_данных | Время ЧТ 6 пара | Аудитория Г-11-16 | Преподаватель Зайцев_78
Группа 4338 | Предмет Базы_данных | Время ЧТ 5 пара | Аудитория Г-55-08 | Преподаватель Кузнецов_63
Группа 4338 | Предмет Сети_ЭВМ | Время ВТ 2 пара | Аудитория Г-53-29 | Преподаватель Волков_50
Группа 4338 | Предмет Сети_ЭВМ | Время ПН 3 пара | Аудитория БМ-42-03 | Преподаватель Соколов_5
Группа 4338 | Предмет Инженерная_графика | Время СР 5 пара | Аудитория Г-52-02 | Преподаватель Макаров_36
Группа 4338 | Предмет Инженерная_графика | Время ПТ 4 пара | Аудитория Г-54-18 | Преподаватель Макаров_36
Группа 4338 | Предмет Алгоритмы_и_структуры_данных | Время ВТ 3 пара | Аудитория Г-43-27 | Преподаватель Зайцев_38
Группа 4338 | Предмет Алгоритмы_и_структуры_данных | Время ПН 4 пара | Аудитория БМ-51-20 | Преподаватель Новиков_8
Группа 4338 | Предмет ТАУ | Время ВТ 1 пара | Аудитория Г-35-27 | Преподаватель Борисов_39
Группа 4338 | Предмет ТАУ | Время ПТ 2 пара | Аудитория БМ-44-07 | Преподаватель Борисов_39
Группа 4338 | Предмет Философия | Время ПН 1 пара | Аудитория Г-55-14 | Преподаватель Николаев_73
Группа 4338 | Предмет Философия | Время ПН 2 пара | Аудитория Г-51-14 | Преподаватель Новиков_28
Группа 4338 | Предмет Английский_язык | Время ПТ 3 пара | Аудитория Г-52-06 | Преподаватель Попов_44
Группа 4338 | Предмет Английский_язык | Время ПТ 5 пара | Аудитория Г-13-13 | Преподаватель Орлов_74
Группа 4339 | Предмет Высшая_математика | Время ВТ 5 пара | Аудитория Г-55-08 | Преподаватель Макаров_16
Группа 4339 | Предмет Физика | Время СР 5 пара | Аудитория Г-45-12 | Преподаватель Захаров_77
Группа 4339 | Предмет Схемотехника | Время ЧТ 5 пара | Аудитория Г-15-07 | Преподаватель Орлов_34
Группа 4339 | Предмет Схемотехника | Время ВТ 3 пара | Аудитория Г-15-03 | Преподаватель Борисов_79
Группа 4339 | Предмет Сети_ЭВМ | Время ПН 1 пара | Аудитория Г-44-07 | Преподаватель Соколов_5
Группа 4339 | Предмет Сети_ЭВМ | Время ВТ 1 пара | Аудитория Г-55-14 | Преподаватель Соколов_5
Группа 4339 | Предмет Инженерная_графика | Время ПН 3 пара | Аудитория БМ-12-12 | Преподаватель Петров_21
Группа 4339 | Предмет ТАУ | Время ПТ 4 пара | Аудитория БМ-14-19 | Преподаватель Морозов_9
Группа 4339 | Предмет ТАУ | Время ПН 2 пара | Аудитория Г-23-13 | Преподаватель Орлов_54
Группа 4339 | Предмет Защита_информации | Время СР 6 пара | Аудитория Г-31-26 | Преподаватель Петров_41
Группа 4339 | Предмет Защита_информации | Время ВТ 4 пара | Аудитория БМ-42-09 | Преподаватель Алексеев_11
Группа 4339 | Предмет Философия | Время ПН 4 пара | Аудитория БМ-35-15 | Преподаватель Кузнецов_43
Группа 4340 | Предмет Программирование | Время СР 4 пара | Аудитория БМ-43-17 | Преподаватель Иванов_0
Группа 4340 | Предмет Физика | Время ЧТ 3 пара | Аудитория БМ-13-25 | Преподаватель Степанов_32
Группа 4340 | Предмет Базы_данных | Время ПТ 5 пара | Аудитория Г-45-12 | Преподаватель Зайцев_78
Группа 4340 | Предмет Базы_данных | Время ЧТ 2 пара | Аудитория Г-52-02 | Преподаватель Новиков_48
Группа 4340 | Предмет Схемотехника | Время ПН 1 пара | Аудитория Г-31-26 | Преподаватель Попов_64
Группа 4340 | Предмет Схемотехника | Время СР 5 пара | Аудитория Г-34-13 | Преподаватель Орлов_34
Группа 4340 | Предмет Инженерная_графика | Время ВТ 1 пара | Аудитория БМ-43-17 | Преподаватель Петров_21
Группа 4340 | Предмет Инженерная_графика | Время ЧТ 4 пара | Аудитория Г-52-25 | Преподаватель Лебедев_66
Группа 4340 | Предмет Экономика | Время ЧТ 1 пара | Аудитория БМ-15-20 | Преподаватель Степанов_12
Группа 4340 | Предмет Философия | Время ВТ 2 пара | Аудитория БМ-35-15 | Преподаватель Николаев_73
Группа 4340 | Предмет Философия | Время ПН 2 пара | Аудитория Г-34-14 | Преподаватель Зайцев_58
Группа 4341 | Предмет Высшая_математика | Время ВТ 5 пара | Аудитория Г-55-04 | Преподаватель Макаров_76
Группа 4341 | Предмет Высшая_математика | Время СР 5 пара | Аудитория Г-52-20 | Преподаватель Макаров_76
Группа 4341 | Предмет Физика | Время СР 3 пара | Аудитория Г-53-02 | Преподаватель Степанов_32
Группа 4341 | Предмет Физика | Время ПН 2 пара | Аудитория БМ-23-22 | Преподаватель Степанов_32
Группа 4341 | Предмет Схемотехника | Время ВТ 4 пара | Аудитория БМ-15-20 | Преподаватель Попов_4
Группа 4341 | Предмет Схемотехника | Время ПН 4 пара | Аудитория Г-45-08 | Преподаватель Орлов_34
Группа 4341 | Предмет Инженерная_графика | Время ПТ 5 пара | Аудитория Г-55-08 | Преподаватель Алексеев_51
Группа 4341 | Предмет ОС | Время ЧТ 5 пара | Аудитория Г-53-07 | Преподаватель Степанов_52
Группа 4341 | Предмет ОС | Время ЧТ 3 пара | Аудитория Г-52-20 | Преподаватель Козлов_67
Группа 4341 | Предмет Алгоритмы_и_структуры_данных | Время СР 2 пара | Аудитория Г-55-14 | Преподаватель Новиков_68
Группа 4341 | Предмет Алгоритмы_и_структуры_данных | Время ЧТ 6 пара | Аудитория БМ-42-28 | Преподаватель Зайцев_38
Группа 4341 | Предмет Микропроцессорные_системы | Время ЧТ 4 пара | Аудитория БМ-25-29 | Преподаватель Иванов_40
Группа 4341 | Предмет Микропроцессорные_системы | Время ПН 3 пара | Аудитория БМ-41-13 | Преподаватель Иванов_40
Группа 4341 | Предмет Защита_информации | Время ВТ 2 пара | Аудитория Г-53-07 | Преподаватель Петров_41
Группа 4341 | Предмет Защита_информации | Время ПТ 6 пара | Аудитория БМ-24-09 | Преподаватель Макаров_56
Группа 4341 | Предмет Экономика | Время ПН 5 пара | Аудитория Г-31-12 | Преподаватель Степанов_12
Группа 4341 | Предмет Экономика | Время СР 1 пара | Аудитория Г-51-16 | Преподаватель Смирнов_42
Группа 4341 | Предмет Английский_язык | Время ВТ 1 пара | Аудитория Г-55-08 | Преподаватель Морозов_29
Группа 4342 | Предмет Программирование | Время СР 3 пара | Аудитория БМ-21-09 | Преподаватель Соколов_45
Группа 4342 | Предмет Высшая_математика | Время ЧТ 4 пара | Аудитория Г-53-29 | Преподаватель Макаров_16
Группа 4342 | Предмет Физика | Время ЧТ 6 пара | Аудитория БМ-24-09 | Преподаватель Захаров_77
Группа 4342 | Предмет Схемотехника | Время ПТ 1 пара | Аудитория БМ-53-14 | Преподаватель Морозов_49
Группа 4342 | Предмет Схемотехника | Время ВТ 4 пара | Аудитория БМ-53-14 | Преподаватель Морозов_49
Группа 4342 | Предмет Сети_ЭВМ | Время ПТ 2 пара | Аудитория Г-13-13 | Преподаватель Павлов_35
Группа 4342 | Предмет Сети_ЭВМ | Время ПН 5 пара | Аудитория Г-31-18 | Преподаватель Соколов_65
Группа 4342 | Предмет Инженерная_графика | Время ПН 4 пара | Аудитория БМ-35-22 | Преподаватель Лебедев_66
Группа 4342 | Предмет Инженерная_графика | Время ПТ 3 пара | Аудитория БМ-35-22 | Преподаватель Лебедев_6
Группа 4342 | Предмет Алгоритмы_и_структуры_данных | Время СР 2 пара | Аудитория БМ-42-09 | Преподаватель Зайцев_38
Группа 4342 | Предмет ТАУ | Время ВТ 1 пара | Аудитория БМ-41-12 | Преподаватель Морозов_69
Группа 4342 | Предмет ТАУ | Время ВТ 5 пара | Аудитория Г-21-12 | Преподаватель Морозов_9
Группа 4342 | Предмет Защита_информации | Время ВТ 2 пара | Аудитория БМ-44-07 | Преподаватель Лебедев_26
Группа 4342 | Предмет Защита_информации | Время СР 1 пара | Аудитория БМ-41-12 | Преподаватель Петров_41
Группа 4342 | Предмет Экономика | Время ЧТ 5 пара | Аудитория Г-31-11 | Преподаватель Степанов_72
Группа 4343 | Предмет Программирование | Время ПН 2 пара | Аудитория Г-11-16 | Преподаватель Иванов_0
Группа 4343 | Предмет Программирование | Время ВТ 6 пара | Аудитория Г-14-27 | Преподаватель Павлов_75
Группа 4343 | Предмет Высшая_математика | Время ПН 4 пара | Аудитория Г-53-07 | Преподаватель Лебедев_46
Группа 4343 | Предмет Физика | Время ПТ 4 пара | Аудитория БМ-24-02 | Преподаватель Захаров_77
Группа 4343 | Предмет Базы_данных | Время ПТ 2 пара | Аудитория Г-35-21 | Преподаватель Зайцев_78
Группа 4343 | Предмет Базы_данных | Время ПН 5 пара | Аудитория БМ-14-19 | Преподаватель Николаев_33
Группа 4343 | Предмет ОС | Время ПН 3 пара | Аудитория БМ-51-19 | Преподаватель Захаров_37
Группа 4343 | Предмет ОС | Время ПТ 3 пара | Аудитория Г-35-21 | Преподаватель Козлов_67
Группа 4343 | Предмет Алгоритмы_и_структуры_данных | Время ЧТ 5 пара | Аудитория БМ-23-22 | Преподаватель Зайцев_38
Группа 4343 | Предмет Алгоритмы_и_структуры_данных | Время ВТ 4 пара | Аудитория Г-14-27 | Преподаватель Новиков_68
Группа 4343 | Предмет ТАУ | Время СР 1 пара | Аудитория Г-22-03 | Преподаватель Попов_24
Группа 4343 | Предмет ТАУ | Время СР 2 пара | Аудитория Г-14-16 | Преподаватель Попов_24
Группа 4343 | Предмет Микропроцессорные_системы | Время ЧТ 2 пара | Аудитория Г-31-26 | Преподаватель Соколов_25
Группа 4343 | Предмет Микропроцессорные_системы | Время ЧТ 4 пара | Аудитория БМ-41-13 | Преподаватель Соколов_25
Группа 4343 | Предмет Защита_информации | Время ВТ 3 пара | Аудитория Г-15-07 | Преподаватель Алексеев_71
Группа 4343 | Предмет Защита_информации | Время ЧТ 3 пара | Аудитория БМ-34-15 | Преподаватель Алексеев_11
Группа 4343 | Предмет Экономика | Время ВТ 5 пара | Аудитория БМ-12-12 | Преподаватель Захаров_57
Группа 4343 | Предмет Экономика | Время ПТ 5 пара | Аудитория Г-34-14 | Преподаватель Степанов_72
Группа 4343 | Предмет Философия | Время СР 3 пара | Аудитория Г-15-07 | Преподаватель Николаев_13
Группа 4343 | Предмет Философия | Время ПТ 6 пара | Аудитория Г-54-18 | Преподаватель Николаев_13
Группа 4343 | Предмет Английский_язык | Время СР 4 пара | Аудитория БМ-23-22 | Преподаватель Орлов_14
Группа 4343 | Предмет Английский_язык | Время ЧТ 1 пара | Аудитория БМ-35-22 | Преподаватель Морозов_29
Группа 4344 | Предмет Программирование | Время ПТ 6 пара | Аудитория БМ-21-09 | Преподаватель Иванов_60
Группа 4344 | Предмет Программирование | Время СР 5 пара | Аудитория БМ-41-12 | Преподаватель Волков_30
Группа 4344 | Предмет Физика | Время СР 2 пара | Аудитория Г-45-12 | Преподаватель Смирнов_62
Группа 4344 | Предмет Физика | Время ВТ 4 пара | Аудитория БМ-13-11 | Преподаватель Захаров_17
Группа 4344 | Предмет Базы_данных | Время ВТ 2 пара | Аудитория Г-52-20 | Преподаватель Зайцев_18
Группа 4344 | Предмет Базы_данных | Время ПН 2 пара | Аудитория БМ-31-13 | Преподаватель Кузнецов_63
Группа 4344 | Предмет Схемотехника | Время ПТ 3 пара | Аудитория БМ-55-07 | Преподаватель Попов_64
Группа 4344 | Предмет Схемотехника | Время СР 6 пара | Аудитория БМ-41-13 | Преподаватель Борисов_19
Группа 4344 | Предмет Сети_ЭВМ | Время ЧТ 2 пара | Аудитория БМ-24-02 | Преподаватель Павлов_35
Группа 4344 | Предмет Инженерная_графика | Время ПН 4 пара | Аудитория Г-15-03 | Преподаватель Лебедев_6
Группа 4344 | Предмет Инженерная_графика | Время ПТ 5 пара | Аудитория Г-35-08 | Преподаватель Макаров_36
Группа 4344 | Предмет ОС | Время ВТ 3 пара | Аудитория Г-55-08 | Преподаватель Захаров_37
Группа 4344 | Предмет ОС | Время ПТ 4 пара | Аудитория Г-31-26 | Преподаватель Смирнов_22
Группа 4344 | Предмет Алгоритмы_и_структуры_данных | Время ЧТ 5 пара | Аудитория БМ-43-17 | Преподаватель Кузнецов_23
Группа 4344 | Предмет ТАУ | Время ЧТ 1 пара | Аудитория Г-55-04 | Преподаватель Борисов_39
Группа 4344 | Предмет Микропроцессорные_системы | Время СР 3 пара | Аудитория Г-35-21 | Преподаватель Иванов_40
Группа 4344 | Предмет Защита_информации | Время ПН 3 пара | Аудитория Г-12-15 | Преподаватель Алексеев_11
Группа 4344 | Предмет Защита_информации | Время ЧТ 3 пара | Аудитория Г-45-08 | Преподаватель Макаров_56
Группа 4344 | Предмет Экономика | Время ВТ 1 пара | Аудитория БМ-42-28 | Преподаватель Степанов_72
Группа 4344 | Предмет Экономика | Время ПН 5 пара | Аудитория Г-34-14 | Преподаватель Степанов_72
Группа 4344 | Предмет Английский_язык | Время ВТ 5 пара | Аудитория БМ-44-07 | Преподаватель Орлов_74
Группа 4345 | Предмет Высшая_математика | Время СР 3 пара | Аудитория Г-42-29 | Преподаватель Алексеев_31
Группа 4345 | Предмет Базы_данных | Время ЧТ 4 пара | Аудитория БМ-34-12 | Преподаватель Кузнецов_63
Группа 4345 | Предмет Сети_ЭВМ | Время ПН 3 пара | Аудитория БМ-14-07 | Преподаватель Соколов_65
Группа 4345 | Предмет Сети_ЭВМ | Время ЧТ 5 пара | Аудитория БМ-34-15 | Преподаватель Иванов_20
Группа 4345 | Предмет Инженерная_графика | Время СР 4 пара | Аудитория Г-51-16 | Преподаватель Алексеев_51
Группа 4345 | Предмет Инженерная_графика | Время ПТ 3 пара | Аудитория Г-34-14 | Преподаватель Петров_21
Группа 4345 | Предмет ОС | Время СР 1 пара | Аудитория БМ-15-20 | Преподаватель Захаров_37
Группа 4345 | Предмет ОС | Время ВТ 1 пара | Аудитория БМ-51-19 | Преподаватель Козлов_7
Группа 4345 | Предмет Алгоритмы_и_структуры_данных | Время ВТ 5 пара | Аудитория БМ-13-11 | Преподаватель Новиков_68
Группа 4345 | Предмет ТАУ | Время ВТ 4 пара | Аудитория Г-45-12 | Преподаватель Борисов_39
Группа 4345 | Предмет Микропроцессорные_системы | Время СР 2 пара | Аудитория Г-55-04 | Преподаватель Соколов_25
Группа 4345 | Предмет Экономика | Время ВТ 2 пара | Аудитория Г-55-08 | Преподаватель Степанов_72
Группа 4346 | Предмет Программирование | Время ПН 2 пара | Аудитория БМ-44-06 | Преподаватель Павлов_75
Группа 4346 | Предмет Схемотехника | Время СР 3 пара | Аудитория БМ-53-14 | Преподаватель Борисов_19
Группа 4346 | Предмет Сети_ЭВМ | Время ЧТ 3 пара | Аудитория Г-55-08 | Преподаватель Соколов_5
Группа 4346 | Предмет Сети_ЭВМ | Время ПТ 6 пара | Аудитория Г-52-06 | Преподаватель Волков_50
Группа 4346 | Предмет Инженерная_графика | Время ВТ 6 пара | Аудитория БМ-44-09 | Преподаватель Лебедев_6
Группа 4346 | Предмет Инженерная_графика | Время СР 2 пара | Аудитория Г-55-08 | Преподаватель Алексеев_51
Группа 4346 | Предмет ОС | Время СР 5 пара | Аудитория Г-55-04 | Преподаватель Козлов_7
Группа 4346 | Предмет ОС | Время ПТ 5 пара | Аудитория Г-21-12 | Преподаватель Захаров_37
Группа 4346 | Предмет Алгоритмы_и_структуры_данных | Время ЧТ 4 пара | Аудитория Г-53-15 | Преподаватель Кузнецов_23
Группа 4346 | Предмет Микропроцессорные_системы | Время ПТ 4 пара | Аудитория БМ-15-20 | Преподаватель Иванов_40
Группа 4346 | Предмет Микропроцессорные_системы | Время СР 4 пара | Аудитория Г-55-04 | Преподаватель Иванов_40
Группа 4347 | Предмет Программирование | Время СР 2 пара | Аудитория Г-53-29 | Преподаватель Волков_30
Группа 4347 | Предмет Программирование | Время ПТ 1 пара | Аудитория Г-51-14 | Преподаватель Иванов_0
Группа 4347 | Предмет Высшая_математика | Время ПН 5 пара | Аудитория Г-13-13 | Преподаватель Петров_1
Группа 4347 | Предмет Высшая_математика | Время ЧТ 3 пара | Аудитория БМ-44-09 | Преподаватель Петров_1
Группа 4347 | Предмет Физика | Время ПН 4 пара | Аудитория БМ-51-19 | Преподаватель Смирнов_62
Группа 4347 | Предмет Схемотехника | Время ВТ 4 пара | Аудитория Г-34-14 | Преподаватель Борисов_79
Группа 4347 | Предмет Инженерная_графика | Время ПТ 2 пара | Аудитория Г-35-27 | Преподаватель Макаров_36
Группа 4347 | Предмет Инженерная_графика | Время СР 1 пара | Аудитория Г-51-14 | Преподаватель Лебедев_66
Группа 4347 | Предмет ОС | Время ВТ 1 пара | Аудитория Г-51-14 | Преподаватель Смирнов_22
Группа 4347 | Предмет ОС | Время ПН 6 пара | Аудитория Г-53-07 | Преподаватель Смирнов_22
Группа 4347 | Предмет Алгоритмы_и_структуры_данных | Время СР 4 пара | Аудитория Г-12-17 | Преподаватель Новиков_68
Группа 4347 | Предмет Алгоритмы_и_структуры_данных | Время ПТ 4 пара | Аудитория БМ-43-17 | Преподаватель Новиков_68
Группа 4347 | Предмет ТАУ | Время ПН 2 пара | Аудитория Г-54-18 | Преподаватель Борисов_39
Группа 4347 | Предмет ТАУ | Время ЧТ 1 пара | Аудитория Г-55-08 | Преподаватель Орлов_54
Группа 4347 | Предмет Микропроцессорные_системы | Время ЧТ 4 пара | Аудитория Г-43-22 | Преподаватель Волков_10
Группа 4347 | Предмет Микропроцессорные_системы | Время ВТ 2 пара | Аудитория Г-15-03 | Преподаватель Волков_70
Группа 4347 | Предмет Экономика | Время ПТ 3 пара | Аудитория БМ-42-03 | Преподаватель Степанов_12
Группа 4347 | Предмет Экономика | Время ВТ 3 пара | Аудитория Г-41-24 | Преподаватель Козлов_27
Группа 4347 | Предмет Философия | Время СР 3 пара | Аудитория Г-54-18 | Преподаватель Николаев_73
Группа 4347 | Предмет Философия | Время ПН 3 пара | Аудитория Г-45-08 | Преподаватель Кузнецов_43
Группа 4347 | Предмет Английский_язык | Время ПН 1 пара | Аудитория БМ-34-15 | Преподаватель Попов_44
Группа 4347 | Предмет Английский_язык | Время ЧТ 2 пара | Аудитория БМ-35-15 | Преподаватель Попов_44
Группа 4348 | Предмет Физика | Время ВТ 2 пара | Аудитория БМ-51-19 | Преподаватель Захаров_17
Группа 4348 | Предмет Базы_данных | Время ЧТ 1 пара | Аудитория Г-12-17 | Преподаватель Николаев_33
Группа 4348 | Предмет Схемотехника | Время ВТ 3 пара | Аудитория Г-55-14 | Преподаватель Морозов_49
Группа 4348 | Предмет Схемотехника | Время СР 3 пара | Аудитория БМ-51-19 | Преподаватель Борисов_79
Группа 4348 | Предмет ОС | Время ЧТ 2 пара | Аудитория Г-52-20 | Преподаватель Захаров_37
Группа 4348 | Предмет ОС | Время ПТ 4 пара | Аудитория Г-45-08 | Преподаватель Степанов_52
Группа 4348 | Предмет Алгоритмы_и_структуры_данных | Время ПТ 2 пара | Аудитория БМ-24-02 | Преподаватель Зайцев_38
Группа 4348 | Предмет Микропроцессорные_системы | Время ПН 4 пара | Аудитория БМ-53-14 | Преподаватель Волков_70
Группа 4348 | Предмет Микропроцессорные_системы | Время ЧТ 3 пара | Аудитория БМ-15-20 | Преподаватель Соколов_25
Группа 4348 | Предмет Философия | Время ПН 5 пара | Аудитория Г-53-07 | Преподаватель Николаев_13
Группа 4348 | Предмет Философия | Время СР 4 пара | Аудитория Г-13-13 | Преподаватель Новиков_28
Группа 4348 | Предмет Английский_язык | Время ПТ 3 пара | Аудитория Г-35-08 | Преподаватель Орлов_74
Группа 4349 | Предмет Программирование | Время СР 2 пара | Аудитория Г-52-20 | Преподаватель Иванов_60
Группа 4349 | Предмет Программирование | Время ЧТ 4 пара | Аудитория Г-51-06 | Преподаватель Павлов_75
Группа 4349 | Предмет Физика | Время ВТ 5 пара | Аудитория БМ-14-19 | Преподаватель Смирнов_62
Группа 4349 | Предмет Базы_данных | Время ЧТ 2 пара | Аудитория Г-45-03 | Преподаватель Кузнецов_3
Группа 4349 | Предмет Базы_данных | Время ПН 6 пара | Аудитория Г-52-20 | Преподаватель Кузнецов_3
Группа 4349 | Предмет Схемотехника | Время ЧТ 1 пара | Аудитория Г-51-14 | Преподаватель Попов_4
Группа 4349 | Предмет ОС | Время ПТ 6 пара | Аудитория БМ-15-20 | Преподаватель Козлов_7
Группа 4349 | Предмет Алгоритмы_и_структуры_данных | Время ПН 5 пара | Аудитория Г-12-26 | Преподаватель Кузнецов_23
Группа 4349 | Предмет Алгоритмы_и_структуры_данных | Время ЧТ 3 пара | Аудитория Г-52-25 | Преподаватель Кузнецов_23
Группа 4349 | Предмет Микропроцессорные_системы | Время ВТ 4 пара | Аудитория БМ-41-13 | Преподаватель Волков_10
Группа 4349 | Предмет Философия | Время ПТ 4 пара | Аудитория БМ-53-14 | Преподаватель Николаев_13
Группа 4349 | Предмет Английский_язык | Время ПТ 5 пара | Аудитория БМ-23-22 | Преподаватель Попов_44
Группа 4349 | Предмет Английский_язык | Время ПН 4 пара | Аудитория Г-35-08 | Преподаватель Орлов_14
Группа 4350 | Предмет Высшая_математика | Время СР 2 пара | Аудитория Г-34-13 | Преподаватель Алексеев_31
Группа 4350 | Предмет Высшая_математика | Время ПТ 5 пара | Аудитория Г-52-20 | Преподаватель Макаров_16
Группа 4350 | Предмет Схемотехника | Время ПН 4 пара | Аудитория Г-23-23 | Преподаватель Борисов_19
Группа 4350 | Предмет Схемотехника | Время ВТ 3 пара | Аудитория БМ-41-13 | Преподаватель Орлов_34
Группа 4350 | Предмет ТАУ | Время СР 5 пара | Аудитория БМ-42-09 | Преподаватель Борисов_39
Группа 4350 | Предмет ТАУ | Время ПН 3 пара | Аудитория БМ-33-16 | Преподаватель Попов_24
Группа 4350 | Предмет Микропроцессорные_системы | Время ПТ 6 пара | Аудитория Г-31-26 | Преподаватель Павлов_55
Группа 4350 | Предмет Микропроцессорные_системы | Время СР 6 пара | Аудитория Г-53-29 | Преподаватель Волков_10
Группа 4350 | Предмет Защита_информации | Время ПН 5 пара | Аудитория Г-54-18 | Преподаватель Алексеев_11
Группа 4350 | Предмет Защита_информации | Время ЧТ 1 пара | Аудитория Г-23-15 | Преподаватель Алексеев_71
Группа 4350 | Предмет Экономика | Время ПТ 4 пара | Аудитория Г-51-16 | Преподаватель Степанов_12
Группа 4350 | Предмет Экономика | Время СР 4 пара | Аудитория Г-15-03 | Преподаватель Смирнов_42
Группа 4350 | Предмет Английский_язык | Время ПН 2 пара | Аудитория Г-31-11 | Преподаватель Попов_44
